goos: darwin
goarch: arm64
pkg: github.com/anacrolix/btree/bench
cpu: Apple M4 Max
BenchmarkErigon/IterateAscBySize/n=100000/google-16    	    1813	    642443 ns/op	 4101409 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/google-16    	    1872	    623619 ns/op	 4101409 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/google-16    	    1844	    638033 ns/op	 4101409 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/google-16    	    1807	    640485 ns/op	 4101409 B/op	      29 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/ajwerner-16    	 3843658	       314.8 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/ajwerner-16    	 3816921	       314.6 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/ajwerner-16    	 3832318	       315.2 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/ajwerner-16    	 3770847	       314.8 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/ajwerner-16    	 3831777	       314.6 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/ajwerner-16    	 3826998	       313.3 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/tidwall-16     	 1700988	       707.4 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/tidwall-16     	 1726776	       696.8 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/tidwall-16     	 1721917	       702.0 ns/op	    2072 B/op	       9 allocs/op
BenchmarkErigon/IterateDescBySize/n=100/tidwall-16     	 1729680	       694.0 ns/op	    2072 B/op	       9 allocs/op
